datetime,kloten_temp,debilt_temp
2026-07-01 00:00:00,18.0,
2026-07-01 01:00:00,17.7,11.4
2026-07-01 02:00:00,17.5,10.9
2026-07-01 03:00:00,18.1,10.3
2026-07-01 04:00:00,18.4,10.3
2026-07-01 05:00:00,17.6,13.6
2026-07-01 06:00:00,18.2,17.4
2026-07-01 07:00:00,19.3,18.9
2026-07-01 08:00:00,19.8,19.8
2026-07-01 09:00:00,20.0,20.7
2026-07-01 10:00:00,18.5,22.1
2026-07-01 11:00:00,18.0,23.0
2026-07-01 12:00:00,18.7,24.2
2026-07-01 13:00:00,19.9,24.5
2026-07-01 14:00:00,21.0,24.4
2026-07-01 15:00:00,22.2,24.8
2026-07-01 16:00:00,23.1,24.1
2026-07-01 17:00:00,23.4,23.8
2026-07-01 18:00:00,22.4,22.9
2026-07-01 19:00:00,22.0,21.6
2026-07-01 20:00:00,20.6,18.9
2026-07-01 21:00:00,19.0,15.7
2026-07-01 22:00:00,18.2,17.3
2026-07-01 23:00:00,15.8,16.4
2026-07-02 00:00:00,15.0,14.9
2026-07-02 01:00:00,14.2,15.7
2026-07-02 02:00:00,13.7,15.2
2026-07-02 03:00:00,13.2,16.8
2026-07-02 04:00:00,12.6,16.7
2026-07-02 05:00:00,13.8,17.3
2026-07-02 06:00:00,15.6,18.0
2026-07-02 07:00:00,17.8,19.2
2026-07-02 08:00:00,19.8,19.3
2026-07-02 09:00:00,21.5,17.5
2026-07-02 10:00:00,22.9,17.6
2026-07-02 11:00:00,24.8,18.1
2026-07-02 12:00:00,25.5,19.1
2026-07-02 13:00:00,25.7,18.9
2026-07-02 14:00:00,26.8,20.5
2026-07-02 15:00:00,26.9,20.6
2026-07-02 16:00:00,26.9,20.1
2026-07-02 17:00:00,26.7,19.1
2026-07-02 18:00:00,26.2,19.4
2026-07-02 19:00:00,24.3,18.6
2026-07-02 20:00:00,22.3,16.7
2026-07-02 21:00:00,21.1,13.0
2026-07-02 22:00:00,21.0,11.6
2026-07-02 23:00:00,20.7,11.6
2026-07-03 00:00:00,20.2,12.5
2026-07-03 01:00:00,19.9,11.6
2026-07-03 02:00:00,19.6,10.1
2026-07-03 03:00:00,19.6,11.0
2026-07-03 04:00:00,19.8,12.9
2026-07-03 05:00:00,19.6,15.4
2026-07-03 06:00:00,19.9,17.3
2026-07-03 07:00:00,20.1,18.6
2026-07-03 08:00:00,21.1,18.3
2026-07-03 09:00:00,21.7,19.5
2026-07-03 10:00:00,23.0,19.6
2026-07-03 11:00:00,24.3,20.5
2026-07-03 12:00:00,24.8,20.5
2026-07-03 13:00:00,25.6,21.1
2026-07-03 14:00:00,25.6,20.1
2026-07-03 15:00:00,26.4,19.7
2026-07-03 16:00:00,26.3,19.7
2026-07-03 17:00:00,26.0,18.6
2026-07-03 18:00:00,25.5,18.1
2026-07-03 19:00:00,24.8,17.5
2026-07-03 20:00:00,22.8,15.8
2026-07-03 21:00:00,19.5,12.8
2026-07-03 22:00:00,17.3,11.6
2026-07-03 23:00:00,16.9,11.4
2026-07-04 00:00:00,16.1,11.9
2026-07-04 01:00:00,15.4,14.7
2026-07-04 02:00:00,14.3,15.4
2026-07-04 03:00:00,13.3,15.6
2026-07-04 04:00:00,12.9,16.0
2026-07-04 05:00:00,13.7,16.6
2026-07-04 06:00:00,16.4,17.5
2026-07-04 07:00:00,18.6,19.7
2026-07-04 08:00:00,20.7,21.8
2026-07-04 09:00:00,22.6,22.8
2026-07-04 10:00:00,23.7,23.2
2026-07-04 11:00:00,24.6,22.6
2026-07-04 12:00:00,25.6,22.6
2026-07-04 13:00:00,26.5,22.6
2026-07-04 14:00:00,27.4,22.1
2026-07-04 15:00:00,27.7,22.4
2026-07-04 16:00:00,27.9,22.8
2026-07-04 17:00:00,27.6,21.9
2026-07-04 18:00:00,26.8,21.2
2026-07-04 19:00:00,24.6,20.5
2026-07-04 20:00:00,21.9,20.2
2026-07-04 21:00:00,20.1,19.7
2026-07-04 22:00:00,18.7,19.5
2026-07-04 23:00:00,16.6,19.2
2026-07-05 00:00:00,15.5,18.8
2026-07-05 01:00:00,14.9,18.9
2026-07-05 02:00:00,14.4,18.7
2026-07-05 03:00:00,14.2,18.0
2026-07-05 04:00:00,14.1,18.5
2026-07-05 05:00:00,15.0,18.5
2026-07-05 06:00:00,18.0,19.3
2026-07-05 07:00:00,20.7,19.3
2026-07-05 08:00:00,22.8,19.9
2026-07-05 09:00:00,24.4,20.2
2026-07-05 10:00:00,25.1,20.0
2026-07-05 11:00:00,27.0,20.3
2026-07-05 12:00:00,28.3,21.1
2026-07-05 13:00:00,28.6,20.6
2026-07-05 14:00:00,28.6,20.3
2026-07-05 15:00:00,27.7,19.8
2026-07-05 16:00:00,26.7,19.7
2026-07-05 17:00:00,26.1,19.5
2026-07-05 18:00:00,25.9,19.3
2026-07-05 19:00:00,24.8,18.9
2026-07-05 20:00:00,22.1,17.9
2026-07-05 21:00:00,20.7,17.4
2026-07-05 22:00:00,21.0,17.2
2026-07-05 23:00:00,19.0,16.5
2026-07-06 00:00:00,17.5,17.0
2026-07-06 01:00:00,16.6,16.9
2026-07-06 02:00:00,16.4,17.6
2026-07-06 03:00:00,15.6,17.9
2026-07-06 04:00:00,14.7,18.2
2026-07-06 05:00:00,15.1,18.6
2026-07-06 06:00:00,18.1,19.1
2026-07-06 07:00:00,20.3,20.4
2026-07-06 08:00:00,22.1,21.5
2026-07-06 09:00:00,23.8,23.2
2026-07-06 10:00:00,24.9,24.2
2026-07-06 11:00:00,25.7,24.6
2026-07-06 12:00:00,26.7,25.2
2026-07-06 13:00:00,27.7,25.3
2026-07-06 14:00:00,28.6,25.5
2026-07-06 15:00:00,28.7,26.5
2026-07-06 16:00:00,28.1,26.8
2026-07-06 17:00:00,27.9,26.8
2026-07-06 18:00:00,26.9,26.7
2026-07-06 19:00:00,25.2,24.8
2026-07-06 20:00:00,22.4,23.8
2026-07-06 21:00:00,19.7,22.4
2026-07-06 22:00:00,18.7,21.2
2026-07-06 23:00:00,18.3,19.4
2026-07-07 00:00:00,17.7,16.4
2026-07-07 01:00:00,16.5,17.3
2026-07-07 02:00:00,15.6,18.8
2026-07-07 03:00:00,15.2,17.7
2026-07-07 04:00:00,14.5,18.2
2026-07-07 05:00:00,16.0,19.5
2026-07-07 06:00:00,18.9,20.0
2026-07-07 07:00:00,21.5,21.5
2026-07-07 08:00:00,24.4,23.0
2026-07-07 09:00:00,26.3,24.0
2026-07-07 10:00:00,28.1,24.4
2026-07-07 11:00:00,29.5,23.9
2026-07-07 12:00:00,30.5,23.2
2026-07-07 13:00:00,31.2,23.0
2026-07-07 14:00:00,31.8,23.6
2026-07-07 15:00:00,31.5,22.2
